,Unnamed: 0,service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
10,275,276,AIDE AUX PERSONNES AGEES OU DEPENDANTES,ASSISTANCE ADMINISTRATIVE,ASSISTANCE ADMINISTRATIVE,SERVICE DE ASSISTANCE ADMINISTRATIVE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE ADMINISTRATIVE,PRIORITAIRE,PRIORITAIRE
11,145,146,AIDE AUX PERSONNES AGEES OU DEPENDANTES,ASSISTANCE INFORMATIQUE A DOMICILE,ASSISTANCE INFORMATIQUE A DOMICILE,SERVICE DE ASSISTANCE INFORMATIQUE À DOMICILE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE INFORMATIQUE À DOMICILE,PRIORITAIRE,PRIORITAIRE
12,102,103,AIDE AUX PERSONNES AGEES OU DEPENDANTES,ASSISTANCE PARTICULIERE,ASSISTANCE PARTICULIERE,SERVICE DE ASSISTANCE PARTICULIERE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE PARTICULIERE,PRIORITAIRE,PRIORITAIRE
13,135,136,AIDE AUX PERSONNES AGEES OU DEPENDANTES,ASSISTANCE POUR FAIRE LES COURSES,ASSISTANCE POUR FAIRE LES COURSES,SERVICE DE ASSISTANCE POUR FAIRE LES COURSES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE POUR FAIRE LES COURSES,PRIORITAIRE,PRIORITAIRE
14,202,203,AIDE AUX PERSONNES AGEES OU DEPENDANTES,ASSISTANCE POUR LES DEMARCHES ADMINISTRATIVES,ASSISTANCE POUR LES DEMARCHES ADMINISTRATIVES,SERVICE DE ASSISTANCE POUR LES DEMARCHES ADMINISTRATIVES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE POUR LES DEMARCHES ADMINISTRATIVES,PRIORITAIRE,PRIORITAIRE
15,210,211,AIDE AUX PERSONNES AGEES OU DEPENDANTES,ASSISTANCE POUR LES TRAJETS QUOTIDIENS,ASSISTANCE POUR LES TRAJETS QUOTIDIENS,SERVICE DE ASSISTANCE POUR LES TRAJETS QUOTIDIENS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE POUR LES TRAJETS QUOTIDIENS,PRIORITAIRE,PRIORITAIRE
16,122,123,AIDE AUX PERSONNES AGEES OU DEPENDANTES,ASSISTANCE A LA MOBILITE,ASSISTANCE A LA MOBILITE,SERVICE DE ASSISTANCE À LA MOBILITE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE À LA MOBILITE,PRIORITAIRE,PRIORITAIRE
17,125,126,AIDE AUX PERSONNES AGEES OU DEPENDANTES,EXERCICES DE MOBILITE,EXERCICES DE MOBILITE,SERVICE DE EXERCICES DE MOBILITE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EXERCICES DE MOBILITE,PRIORITAIRE,NON PRIORITAIRE
18,121,122,AIDE AUX PERSONNES AGEES OU DEPENDANTES,JE DELEGUE L'ASSISTANCE AUX PERSONNES DEPENDANTES,JE DELEGUE L'ASSISTANCE AUX PERSONNES DEPENDANTES,SERVICE DE JE DELEGUE L'ASSISTANCE AUX PERSONNES DEPENDANTES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE L'ASSISTANCE AUX PERSONNES DEPENDANTES,PRIORITAIRE,PRIORITAIRE
19,208,209,AIDE AUX PERSONNES AGEES OU DEPENDANTES,SERVICES DE CHAUFFEUR POUR DEPLACEMENTS PRIVES,SERVICES DE CHAUFFEUR POUR DEPLACEMENTS PRIVES,SERVICE DE SERVICES DE CHAUFFEUR POUR DEPLACEMENTS PRIVES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SERVICES DE CHAUFFEUR POUR DEPLACEMENTS PRIVES,PRIORITAIRE,NON PRIORITAIRE
20,133,134,AIDE AUX PERSONNES AGEES OU DEPENDANTES,SOINS D'HYGIENE DE BASE,SOINS D'HYGIENE DE BASE,SERVICE DE SOINS D'HYGIENE DE BASE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SOINS D'HYGIENE DE BASE,PRIORITAIRE,NON PRIORITAIRE
21,249,250,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION","AMENAGEMENT, DEMENAGEMENT ET MANUTENTION","AMENAGEMENT, DEMENAGEMENT ET MANUTENTION","SERVICE DE AMENAGEMENT, DEMENAGEMENT ET MANUTENTION PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.","PROFESSIONNEL SPECIALISE EN AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",PRIORITAIRE,PRIORITAIRE
22,251,252,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",AIDE AU DEMENAGEMENT,AIDE AU DEMENAGEMENT,SERVICE DE AIDE AU DEMENAGEMENT PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE AU DEMENAGEMENT,PRIORITAIRE,PRIORITAIRE
23,253,254,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",CHARGEMENT ET DECHARGEMENT DES CAMIONS,CHARGEMENT ET DECHARGEMENT DES CAMIONS,SERVICE DE CHARGEMENT ET DECHARGEMENT DES CAMIONS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CHARGEMENT ET DECHARGEMENT DES CAMIONS,PRIORITAIRE,NON PRIORITAIRE
24,250,251,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",JE DELEGUE MON DEMENAGEMENTAMENAGEMENT,JE DELEGUE MON DEMENAGEMENTAMENAGEMENT,SERVICE DE JE DELEGUE MON DEMENAGEMENTAMENAGEMENT PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE MON DEMENAGEMENTAMENAGEMENT,PRIORITAIRE,PRIORITAIRE
25,258,259,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",ORGANISATION DES CARTONS PAR PIECE,ORGANISATION DES CARTONS PAR PIECE,SERVICE DE ORGANISATION DES CARTONS PAR PIECE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ORGANISATION DES CARTONS PAR PIECE,PRIORITAIRE,NON PRIORITAIRE
26,120,121,AUTRES SERVICES,AIDE AUX PERSONNES AGEES OU DEPENDANTES,AIDE AUX PERSONNES AGEES OU DEPENDANTES,SERVICE DE AIDE AUX PERSONNES AGEES OU DEPENDANTES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE AUX PERSONNES AGEES OU DEPENDANTES,PRIORITAIRE,NON PRIORITAIRE
27,137,138,AUTRES SERVICES,AIDE A LA GESTION DES ACHATS,AIDE A LA GESTION DES ACHATS,SERVICE DE AIDE À LA GESTION DES ACHATS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE À LA GESTION DES ACHATS,NON PRIORITAIRE,NON PRIORITAIRE
28,131,132,AUTRES SERVICES,AIDE A LA TOILETTE QUOTIDIENNE,AIDE A LA TOILETTE QUOTIDIENNE,SERVICE DE AIDE À LA TOILETTE QUOTIDIENNE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE À LA TOILETTE QUOTIDIENNE,NON PRIORITAIRE,NON PRIORITAIRE
29,112,113,AUTRES SERVICES,AIDE-MENAGERE,AIDE-MENAGERE,SERVICE DE AIDE-MENAGERE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE-MENAGERE,NON PRIORITAIRE,NON PRIORITAIRE
30,139,140,AUTRES SERVICES,AIDE-SOIGNANT(ES),AIDE-SOIGNANT(ES),SERVICE DE AIDE-SOIGNANT(ES) PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE-SOIGNANT(ES),NON PRIORITAIRE,NON PRIORITAIRE
32,263,264,AUTRES SERVICES,AMENAGEMENT,AMENAGEMENT,SERVICE DE AMENAGEMENT PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AMENAGEMENT,NON PRIORITAIRE,NON PRIORITAIRE
33,158,159,AUTRES SERVICES,ANIMATION ET MOTION DESIGN,ANIMATION ET MOTION DESIGN,SERVICE DE ANIMATION ET MOTION DESIGN PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ANIMATION ET MOTION DESIGN,NON PRIORITAIRE,NON PRIORITAIRE
34,74,75,AUTRES SERVICES,APPLICATION DE SOUS-COUCHE ET PEINTURE,APPLICATION DE SOUS-COUCHE ET PEINTURE,SERVICE DE APPLICATION DE SOUS-COUCHE ET PEINTURE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN APPLICATION DE SOUS-COUCHE ET PEINTURE,NON PRIORITAIRE,NON PRIORITAIRE
35,237,238,AUTRES SERVICES,ART DE LA TABLE,ART DE LA TABLE,SERVICE DE ART DE LA TABLE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ART DE LA TABLE,NON PRIORITAIRE,NON PRIORITAIRE
36,295,296,AUTRES SERVICES,ASSISTANT(ES) ADMINISTRATIFS,ASSISTANT(ES) ADMINISTRATIFS,SERVICE DE ASSISTANT(ES) ADMINISTRATIFS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANT(ES) ADMINISTRATIFS,PRIORITAIRE,NON PRIORITAIRE
37,288,289,AUTRES SERVICES,AUTRE,AUTRE,SERVICE DE AUTRE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AUTRE,NON PRIORITAIRE,NON PRIORITAIRE
38,169,170,AUTRES SERVICES,BIEN-ETRE ET BEAUTE,BIEN-ETRE ET BEAUTE,SERVICE DE BIEN-ETRE ET BEAUTE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BIEN-ETRE ET BEAUTE,NON PRIORITAIRE,NON PRIORITAIRE
39,57,58,AUTRES SERVICES,BRICOLAGE ET PETITS TRAVAUX,BRICOLAGE ET PETITS TRAVAUX,SERVICE DE BRICOLAGE ET PETITS TRAVAUX PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BRICOLAGE ET PETITS TRAVAUX,NON PRIORITAIRE,NON PRIORITAIRE
40,218,219,AUTRES SERVICES,BARMAN,BARMAN,SERVICE DE BARMAN PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BARMAN,NON PRIORITAIRE,NON PRIORITAIRE
42,36,37,AUTRES SERVICES,BORDURES DE PELOUSE,BORDURES DE PELOUSE,SERVICE DE BORDURES DE PELOUSE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BORDURES DE PELOUSE,NON PRIORITAIRE,NON PRIORITAIRE
43,174,175,AUTRES SERVICES,BRIDAL MAKE-UP,BRIDAL MAKE-UP,SERVICE DE BRIDAL MAKE-UP PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BRIDAL MAKE-UP,NON PRIORITAIRE,NON PRIORITAIRE
44,224,225,AUTRES SERVICES,BRUNCH,BRUNCH,SERVICE DE BRUNCH PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BRUNCH,NON PRIORITAIRE,NON PRIORITAIRE
45,172,173,AUTRES SERVICES,CASUAL MAKE-UP,CASUAL MAKE-UP,SERVICE DE CASUAL MAKE-UP PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CASUAL MAKE-UP,NON PRIORITAIRE,NON PRIORITAIRE
46,214,215,AUTRES SERVICES,CHAUFFEURS BILINGUES,CHAUFFEURS BILINGUES,SERVICE DE CHAUFFEURS BILINGUES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CHAUFFEURS BILINGUES,NON PRIORITAIRE,NON PRIORITAIRE
47,213,214,AUTRES SERVICES,CHAUFFEURS PRIVES,CHAUFFEURS PRIVES,SERVICE DE CHAUFFEURS PRIVES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CHAUFFEURS PRIVES,NON PRIORITAIRE,NON PRIORITAIRE
48,118,119,AUTRES SERVICES,COACH DE VIE,COACH DE VIE,SERVICE DE COACH DE VIE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACH DE VIE,NON PRIORITAIRE,NON PRIORITAIRE
49,187,188,AUTRES SERVICES,COACHING SPOTIF,COACHING SPOTIF,SERVICE DE COACHING SPOTIF PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACHING SPOTIF,NON PRIORITAIRE,NON PRIORITAIRE
50,192,193,AUTRES SERVICES,COACHS SPORTIFS,COACHS SPORTIFS,SERVICE DE COACHS SPORTIFS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACHS SPORTIFS,NON PRIORITAIRE,NON PRIORITAIRE
51,226,227,AUTRES SERVICES,COACKTAIL DINATOIRE,COACKTAIL DINATOIRE,SERVICE DE COACKTAIL DINATOIRE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACKTAIL DINATOIRE,NON PRIORITAIRE,NON PRIORITAIRE
52,194,195,AUTRES SERVICES,COIFFEURS(EUSES),COIFFEURS(EUSES),SERVICE DE COIFFEURS(EUSES) PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COIFFEURS(EUSES),NON PRIORITAIRE,NON PRIORITAIRE
53,177,178,AUTRES SERVICES,COLORATION ET MECHES,COLORATION ET MECHES,SERVICE DE COLORATION ET MECHES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COLORATION ET MECHES,NON PRIORITAIRE,NON PRIORITAIRE
54,79,80,AUTRES SERVICES,COMPTOIRS ET ARMOIRES,COMPTOIRS ET ARMOIRES,SERVICE DE COMPTOIRS ET ARMOIRES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COMPTOIRS ET ARMOIRES,NON PRIORITAIRE,NON PRIORITAIRE
55,155,156,AUTRES SERVICES,CONCEPTION GRAPHIQUE,CONCEPTION GRAPHIQUE,SERVICE DE CONCEPTION GRAPHIQUE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CONCEPTION GRAPHIQUE,NON PRIORITAIRE,NON PRIORITAIRE
56,280,281,AUTRES SERVICES,CONSEILS JURIDIQUES DE BASE,CONSEILS JURIDIQUES DE BASE,SERVICE DE CONSEILS JURIDIQUES DE BASE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CONSEILS JURIDIQUES DE BASE,NON PRIORITAIRE,NON PRIORITAIRE
57,291,292,AUTRES SERVICES,CREATION DE SYSTEMES DE CLASSEMENT,CREATION DE SYSTEMES DE CLASSEMENT,SERVICE DE CREATION DE SYSTEMES DE CLASSEMENT PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CREATION DE SYSTEMES DE CLASSEMENT,NON PRIORITAIRE,NON PRIORITAIRE
58,287,288,AUTRES SERVICES,CREATION D'ENTREPRISE,CREATION D'ENTREPRISE,SERVICE DE CREATION D'ENTREPRISE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CREATION D'ENTREPRISE,NON PRIORITAIRE,NON PRIORITAIRE
59,3,4,AUTRES SERVICES,DEPOUSSIERAGE DES SURFACES,DEPOUSSIERAGE DES SURFACES,SERVICE DE DEPOUSSIERAGE DES SURFACES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEPOUSSIERAGE DES SURFACES,NON PRIORITAIRE,NON PRIORITAIRE
60,227,228,AUTRES SERVICES,DINER,DINER,SERVICE DE DINER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DINER,NON PRIORITAIRE,NON PRIORITAIRE
61,196,197,AUTRES SERVICES,DIETITICIENS,DIETITICIENS,SERVICE DE DIETITICIENS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DIETITICIENS,NON PRIORITAIRE,NON PRIORITAIRE
62,142,143,AUTRES SERVICES,DIETETICIENS,DIETETICIENS,SERVICE DE DIETETICIENS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DIETETICIENS,NON PRIORITAIRE,NON PRIORITAIRE
63,270,271,AUTRES SERVICES,DOCKERBAGAGISTE,DOCKERBAGAGISTE,SERVICE DE DOCKERBAGAGISTE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DOCKERBAGAGISTE,NON PRIORITAIRE,NON PRIORITAIRE
64,259,260,AUTRES SERVICES,DEBALLAGE ET RANGEMENT DANS LE NOUVEAU DOMICILE,DEBALLAGE ET RANGEMENT DANS LE NOUVEAU DOMICILE,SERVICE DE DEBALLAGE ET RANGEMENT DANS LE NOUVEAU DOMICILE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEBALLAGE ET RANGEMENT DANS LE NOUVEAU DOMICILE,NON PRIORITAIRE,NON PRIORITAIRE
65,65,66,AUTRES SERVICES,DEBOUCHAGE DE CANALISATIONS,DEBOUCHAGE DE CANALISATIONS,SERVICE DE DEBOUCHAGE DE CANALISATIONS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEBOUCHAGE DE CANALISATIONS,NON PRIORITAIRE,NON PRIORITAIRE
66,248,249,AUTRES SERVICES,DECORATEURS EVENEMENTIELS,DECORATEURS EVENEMENTIELS,SERVICE DE DECORATEURS EVENEMENTIELS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DECORATEURS EVENEMENTIELS,NON PRIORITAIRE,NON PRIORITAIRE
67,225,226,AUTRES SERVICES,DEJEUNER,DEJEUNER,SERVICE DE DEJEUNER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEJEUNER,NON PRIORITAIRE,NON PRIORITAIRE
68,284,285,AUTRES SERVICES,DEMARCHES ADMINISTRATIVES,DEMARCHES ADMINISTRATIVES,SERVICE DE DEMARCHES ADMINISTRATIVES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEMARCHES ADMINISTRATIVES,NON PRIORITAIRE,NON PRIORITAIRE
69,41,42,AUTRES SERVICES,DESHERBAGE,DESHERBAGE,SERVICE DE DESHERBAGE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DESHERBAGE,NON PRIORITAIRE,NON PRIORITAIRE
70,42,43,AUTRES SERVICES,DESHERBAGE MANUEL,DESHERBAGE MANUEL,SERVICE DE DESHERBAGE MANUEL PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DESHERBAGE MANUEL,NON PRIORITAIRE,NON PRIORITAIRE
71,105,106,AUTRES SERVICES,DEVELOPPEMENT PSYCHOMOTEUR,DEVELOPPEMENT PSYCHOMOTEUR,SERVICE DE DEVELOPPEMENT PSYCHOMOTEUR PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEVELOPPEMENT PSYCHOMOTEUR,NON PRIORITAIRE,NON PRIORITAIRE
72,167,168,AUTRES SERVICES,DEVELOPPEURS,DEVELOPPEURS,SERVICE DE DEVELOPPEURS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEVELOPPEURS,NON PRIORITAIRE,NON PRIORITAIRE
73,114,115,AUTRES SERVICES,EDUCATEUR SPECIALISE,EDUCATEUR SPECIALISE,SERVICE DE EDUCATEUR SPECIALISE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EDUCATEUR SPECIALISE,NON PRIORITAIRE,NON PRIORITAIRE
74,39,40,AUTRES SERVICES,ELIMINATION DES BRANCHES MORTES,ELIMINATION DES BRANCHES MORTES,SERVICE DE ELIMINATION DES BRANCHES MORTES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ELIMINATION DES BRANCHES MORTES,NON PRIORITAIRE,NON PRIORITAIRE
75,35,36,AUTRES SERVICES,ELIMINATION DES MAUVAIS HERBES,ELIMINATION DES MAUVAIS HERBES,SERVICE DE ELIMINATION DES MAUVAIS HERBES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ELIMINATION DES MAUVAIS HERBES,NON PRIORITAIRE,NON PRIORITAIRE
76,252,253,AUTRES SERVICES,EMBALLAGE DES BIENS,EMBALLAGE DES BIENS,SERVICE DE EMBALLAGE DES BIENS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EMBALLAGE DES BIENS,NON PRIORITAIRE,NON PRIORITAIRE
