service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
18,MENAGE ET NETTOYAGE,,NETTOYAGE DE VITRES,SERVICE DE NETTOYAGE DE VITRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE DE VITRES,PRIORITAIRE,PRIORITAIRE
19,MENAGE ET NETTOYAGE,,NETTOYAGE INTERIEUR ET EXTERIEUR DES FENETRES,SERVICE DE NETTOYAGE INTERIEUR ET EXTERIEUR DES FENETRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE INTERIEUR ET EXTERIEUR DES FENETRES,PRIORITAIRE,PRIORITAIRE
20,MENAGE ET NETTOYAGE,,NETTOYAGE DE MIROIRS,SERVICE DE NETTOYAGE DE MIROIRS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE DE MIROIRS,PRIORITAIRE,PRIORITAIRE
23,MENAGE ET NETTOYAGE,,NETTOYAGE GENERAL,SERVICE DE NETTOYAGE GENERAL PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NETTOYAGE GENERAL,PRIORITAIRE,PRIORITAIRE
26,MENAGE ET NETTOYAGE,,ENTREPRISES DE NETTOYAGE PROFESSIONNELS,SERVICE DE ENTREPRISES DE NETTOYAGE PROFESSIONNELS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENTREPRISES DE NETTOYAGE PROFESSIONNELS,PRIORITAIRE,PRIORITAIRE
93,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,SERVICE DE GARDE D'ENFANTS ET SOUTIEN SCOLAIRE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,PRIORITAIRE,PRIORITAIRE
94,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,JE DELEGUE LA GARDE ETOU L'ACCOMPAGNEMENT DE MES ENFANTS,SERVICE DE JE DELEGUE LA GARDE ETOU L'ACCOMPAGNEMENT DE MES ENFANTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE LA GARDE ETOU L'ACCOMPAGNEMENT DE MES ENFANTS,PRIORITAIRE,PRIORITAIRE
96,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,GARDE PONCTUELLE OU REGULIERE,SERVICE DE GARDE PONCTUELLE OU REGULIERE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GARDE PONCTUELLE OU REGULIERE,PRIORITAIRE,PRIORITAIRE
98,AUTRES SERVICES,,PREPARATION DES REPAS ET COLLATION,SERVICE DE PREPARATION DES REPAS ET COLLATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION DES REPAS ET COLLATION,PRIORITAIRE,PRIORITAIRE
99,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,ASSISTANCE AUX DEVOIRS,SERVICE DE ASSISTANCE AUX DEVOIRS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE AUX DEVOIRS,PRIORITAIRE,PRIORITAIRE
103,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,ASSISTANCE PARTICULIERE,SERVICE DE ASSISTANCE PARTICULIERE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE PARTICULIERE,PRIORITAIRE,PRIORITAIRE
107,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,GARDE PERISCOLAIRE,SERVICE DE GARDE PERISCOLAIRE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GARDE PERISCOLAIRE,PRIORITAIRE,PRIORITAIRE
122,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,JE DELEGUE L'ASSISTANCE AUX PERSONNES DEPENDANTES,SERVICE DE JE DELEGUE L'ASSISTANCE AUX PERSONNES DEPENDANTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE L'ASSISTANCE AUX PERSONNES DEPENDANTES,PRIORITAIRE,PRIORITAIRE
123,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,ASSISTANCE A LA MOBILITE,SERVICE DE ASSISTANCE A LA MOBILITE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE A LA MOBILITE,PRIORITAIRE,PRIORITAIRE
127,AUTRES SERVICES,,PREPARATION DE REPAS,SERVICE DE PREPARATION DE REPAS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION DE REPAS,PRIORITAIRE,PRIORITAIRE
129,AUTRES SERVICES,,PREPARATION DE REPAS EQUILIBRES,SERVICE DE PREPARATION DE REPAS EQUILIBRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION DE REPAS EQUILIBRES,PRIORITAIRE,PRIORITAIRE
136,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,ASSISTANCE POUR FAIRE LES COURSES,SERVICE DE ASSISTANCE POUR FAIRE LES COURSES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE POUR FAIRE LES COURSES,PRIORITAIRE,PRIORITAIRE
144,INFORMATIQUE ET TECH,,INFORMATIQUE ET TECH,SERVICE DE INFORMATIQUE ET TECH PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INFORMATIQUE ET TECH,PRIORITAIRE,PRIORITAIRE
146,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,ASSISTANCE INFORMATIQUE A DOMICILE,SERVICE DE ASSISTANCE INFORMATIQUE A DOMICILE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE INFORMATIQUE A DOMICILE,PRIORITAIRE,PRIORITAIRE
150,BRICOLAGE ET PETITS TRAVAUX,,REPARATION DE MATERIEL INFORMATIQUE,SERVICE DE REPARATION DE MATERIEL INFORMATIQUE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REPARATION DE MATERIEL INFORMATIQUE,PRIORITAIRE,PRIORITAIRE
161,INFORMATIQUE ET TECH,,INITIATION A L'INFORMATIQUE,SERVICE DE INITIATION A L'INFORMATIQUE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INITIATION A L'INFORMATIQUE,PRIORITAIRE,PRIORITAIRE
176,BIEN-ETRE ET BEAUTE,,COIFFURE A DOMICILE,SERVICE DE COIFFURE A DOMICILE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COIFFURE A DOMICILE,PRIORITAIRE,PRIORITAIRE
177,BIEN-ETRE ET BEAUTE,,COUPE ET COIFFURE,SERVICE DE COUPE ET COIFFURE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COUPE ET COIFFURE,PRIORITAIRE,PRIORITAIRE
198,TRANSPORT ET ACCOMPAGNEMENT,,TRANSPORT ET ACCOMPAGNEMENT,SERVICE DE TRANSPORT ET ACCOMPAGNEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPORT ET ACCOMPAGNEMENT,PRIORITAIRE,PRIORITAIRE
202,TRANSPORT ET ACCOMPAGNEMENT,,TRANSPORT POUR DES TRAITEMENTS REGULIERS,SERVICE DE TRANSPORT POUR DES TRAITEMENTS REGULIERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPORT POUR DES TRAITEMENTS REGULIERS,PRIORITAIRE,PRIORITAIRE
203,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,ASSISTANCE POUR LES DEMARCHES ADMINISTRATIVES,SERVICE DE ASSISTANCE POUR LES DEMARCHES ADMINISTRATIVES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE POUR LES DEMARCHES ADMINISTRATIVES,PRIORITAIRE,PRIORITAIRE
210,TRANSPORT ET ACCOMPAGNEMENT,,TRANSPORT POUR EVENEMENTS SPECIAUX,SERVICE DE TRANSPORT POUR EVENEMENTS SPECIAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPORT POUR EVENEMENTS SPECIAUX,PRIORITAIRE,PRIORITAIRE
211,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,ASSISTANCE POUR LES TRAJETS QUOTIDIENS,SERVICE DE ASSISTANCE POUR LES TRAJETS QUOTIDIENS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE POUR LES TRAJETS QUOTIDIENS,PRIORITAIRE,PRIORITAIRE
216,AUTRES SERVICES,,TRANSPORTEURS,SERVICE DE TRANSPORTEURS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPORTEURS,PRIORITAIRE,PRIORITAIRE
250,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION","SERVICE DE AMENAGEMENT, DEMENAGEMENT ET MANUTENTION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.","PROFESSIONNEL SPECIALISE EN AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",PRIORITAIRE,PRIORITAIRE
251,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",,JE DELEGUE MON DEMENAGEMENTAMENAGEMENT,SERVICE DE JE DELEGUE MON DEMENAGEMENTAMENAGEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE MON DEMENAGEMENTAMENAGEMENT,PRIORITAIRE,PRIORITAIRE
252,"AMENAGEMENT, DEMENAGEMENT ET MANUTENTION",,AIDE AU DEMENAGEMENT,SERVICE DE AIDE AU DEMENAGEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE AU DEMENAGEMENT,PRIORITAIRE,PRIORITAIRE
261,TRANSPORT ET ACCOMPAGNEMENT,,TRANSPORT DE MEUBLES,SERVICE DE TRANSPORT DE MEUBLES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPORT DE MEUBLES,PRIORITAIRE,PRIORITAIRE
262,TRANSPORT ET ACCOMPAGNEMENT,,TRANSPORT DE MEUBLES LOURDS OU ENCOMBRANTS,SERVICE DE TRANSPORT DE MEUBLES LOURDS OU ENCOMBRANTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPORT DE MEUBLES LOURDS OU ENCOMBRANTS,PRIORITAIRE,PRIORITAIRE
263,TRANSPORT ET ACCOMPAGNEMENT,,TRANSPORT VERS DES SITES DE STOCKAGE,SERVICE DE TRANSPORT VERS DES SITES DE STOCKAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPORT VERS DES SITES DE STOCKAGE,PRIORITAIRE,PRIORITAIRE
276,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,ASSISTANCE ADMINISTRATIVE,SERVICE DE ASSISTANCE ADMINISTRATIVE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSISTANCE ADMINISTRATIVE,PRIORITAIRE,PRIORITAIRE
