service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
25,AUTRES SERVICES,,ENLEVEMENT DE FERRAILLE,SERVICE DE ENLEVEMENT DE FERRAILLE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENLEVEMENT DE FERRAILLE,NON PRIORITAIRE,NON PRIORITAIRE
28,AUTRES SERVICES,,FANIKO,SERVICE DE FANIKO PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FANIKO,NON PRIORITAIRE,NON PRIORITAIRE
29,AUTRES SERVICES,,PRESSING BLANCHISSEUR (SE),SERVICE DE PRESSING BLANCHISSEUR (SE) PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PRESSING BLANCHISSEUR (SE),NON PRIORITAIRE,NON PRIORITAIRE
30,AUTRES SERVICES,,HOMMEFEMME A TOUT FAIRE,SERVICE DE HOMMEFEMME A TOUT FAIRE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN HOMMEFEMME A TOUT FAIRE,NON PRIORITAIRE,NON PRIORITAIRE
31,AUTRES SERVICES,,SPECILALISTE DES VITRES,SERVICE DE SPECILALISTE DES VITRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SPECILALISTE DES VITRES,NON PRIORITAIRE,NON PRIORITAIRE
32,JARDINAGE ET PISCINE,,JARDINAGE ET PISCINE,SERVICE DE JARDINAGE ET PISCINE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JARDINAGE ET PISCINE,NON PRIORITAIRE,NON PRIORITAIRE
33,JARDINAGE ET PISCINE,,JE DELEGUE LES TRAVAUX DE JARDINAGE ET D'AMENAGEMENT PAYSAGER,SERVICE DE JE DELEGUE LES TRAVAUX DE JARDINAGE ET D'AMENAGEMENT PAYSAGER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE LES TRAVAUX DE JARDINAGE ET D'AMENAGEMENT PAYSAGER,NON PRIORITAIRE,NON PRIORITAIRE
34,JARDINAGE ET PISCINE,,TONTE DE PELOUSE,SERVICE DE TONTE DE PELOUSE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TONTE DE PELOUSE,NON PRIORITAIRE,NON PRIORITAIRE
35,JARDINAGE ET PISCINE,,TONTE REGULIERE,SERVICE DE TONTE REGULIERE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TONTE REGULIERE,NON PRIORITAIRE,NON PRIORITAIRE
36,AUTRES SERVICES,,ELIMINATION DES MAUVAIS HERBES,SERVICE DE ELIMINATION DES MAUVAIS HERBES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ELIMINATION DES MAUVAIS HERBES,NON PRIORITAIRE,NON PRIORITAIRE
37,AUTRES SERVICES,,BORDURES DE PELOUSE,SERVICE DE BORDURES DE PELOUSE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BORDURES DE PELOUSE,NON PRIORITAIRE,NON PRIORITAIRE
38,JARDINAGE ET PISCINE,,TAILLE DE HAIES ET D'ARBUSTES,SERVICE DE TAILLE DE HAIES ET D'ARBUSTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TAILLE DE HAIES ET D'ARBUSTES,NON PRIORITAIRE,NON PRIORITAIRE
39,AUTRES SERVICES,,TAILLE DE FORMATION ET D'ENTRETIEN,SERVICE DE TAILLE DE FORMATION ET D'ENTRETIEN PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TAILLE DE FORMATION ET D'ENTRETIEN,NON PRIORITAIRE,NON PRIORITAIRE
40,AUTRES SERVICES,,ELIMINATION DES BRANCHES MORTES,SERVICE DE ELIMINATION DES BRANCHES MORTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ELIMINATION DES BRANCHES MORTES,NON PRIORITAIRE,NON PRIORITAIRE
41,AUTRES SERVICES,,MISE EN FORME DECORATIVE,SERVICE DE MISE EN FORME DECORATIVE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MISE EN FORME DECORATIVE,NON PRIORITAIRE,NON PRIORITAIRE
42,AUTRES SERVICES,,DESHERBAGE,SERVICE DE DESHERBAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DESHERBAGE,NON PRIORITAIRE,NON PRIORITAIRE
43,AUTRES SERVICES,,DESHERBAGE MANUEL,SERVICE DE DESHERBAGE MANUEL PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DESHERBAGE MANUEL,NON PRIORITAIRE,NON PRIORITAIRE
44,AUTRES SERVICES,,UTILISATION DE DESHERBANTS ECOLOGIQUES,SERVICE DE UTILISATION DE DESHERBANTS ECOLOGIQUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN UTILISATION DE DESHERBANTS ECOLOGIQUES,NON PRIORITAIRE,NON PRIORITAIRE
45,AUTRES SERVICES,,PREVENTION DE LA REPOUSSE,SERVICE DE PREVENTION DE LA REPOUSSE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREVENTION DE LA REPOUSSE,NON PRIORITAIRE,NON PRIORITAIRE
46,JARDINAGE ET PISCINE,,AMENAGEMENT PAYSAGER,SERVICE DE AMENAGEMENT PAYSAGER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AMENAGEMENT PAYSAGER,NON PRIORITAIRE,NON PRIORITAIRE
47,AUTRES SERVICES,,PLANTATION DE FLEURS ET ARBUSTES,SERVICE DE PLANTATION DE FLEURS ET ARBUSTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLANTATION DE FLEURS ET ARBUSTES,NON PRIORITAIRE,NON PRIORITAIRE
48,AUTRES SERVICES,,CREATION DE MASSIFS,SERVICE DE CREATION DE MASSIFS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CREATION DE MASSIFS,NON PRIORITAIRE,NON PRIORITAIRE
49,INFORMATIQUE ET TECH,,INSTALLATION DE SYSTEMES D'IRRIGATION,SERVICE DE INSTALLATION DE SYSTEMES D'IRRIGATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INSTALLATION DE SYSTEMES D'IRRIGATION,PRIORITAIRE,NON PRIORITAIRE
50,JARDINAGE ET PISCINE,,ENTRETIEN PISCINE,SERVICE DE ENTRETIEN PISCINE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENTRETIEN PISCINE,NON PRIORITAIRE,NON PRIORITAIRE
52,AUTRES SERVICES,,JARDINIERS,SERVICE DE JARDINIERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JARDINIERS,NON PRIORITAIRE,NON PRIORITAIRE
53,AUTRES SERVICES,,PAYSAGISTES,SERVICE DE PAYSAGISTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PAYSAGISTES,NON PRIORITAIRE,NON PRIORITAIRE
54,AUTRES SERVICES,,PISCINISTE,SERVICE DE PISCINISTE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PISCINISTE,NON PRIORITAIRE,NON PRIORITAIRE
57,JARDINAGE ET PISCINE,,PISCINISTE (TECHNICIEN DE PISCINE),SERVICE DE PISCINISTE (TECHNICIEN DE PISCINE) PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PISCINISTE (TECHNICIEN DE PISCINE),NON PRIORITAIRE,NON PRIORITAIRE
58,AUTRES SERVICES,,BRICOLAGE ET PETITS TRAVAUX,SERVICE DE BRICOLAGE ET PETITS TRAVAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BRICOLAGE ET PETITS TRAVAUX,NON PRIORITAIRE,NON PRIORITAIRE
59,AUTRES SERVICES,,JE DELEGUE LES PETITS TRAVAUX,SERVICE DE JE DELEGUE LES PETITS TRAVAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE LES PETITS TRAVAUX,NON PRIORITAIRE,NON PRIORITAIRE
60,BRICOLAGE ET PETITS TRAVAUX,,MENUISERIE,SERVICE DE MENUISERIE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MENUISERIE,NON PRIORITAIRE,NON PRIORITAIRE
61,BRICOLAGE ET PETITS TRAVAUX,,ASSEMBLAGE DE MEUBLES EN KIT,SERVICE DE ASSEMBLAGE DE MEUBLES EN KIT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ASSEMBLAGE DE MEUBLES EN KIT,NON PRIORITAIRE,NON PRIORITAIRE
62,BRICOLAGE ET PETITS TRAVAUX,,FIXATION MURALE DE MEUBLES,SERVICE DE FIXATION MURALE DE MEUBLES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FIXATION MURALE DE MEUBLES,NON PRIORITAIRE,NON PRIORITAIRE
63,BRICOLAGE ET PETITS TRAVAUX,,REPARATION DE MEUBLES,SERVICE DE REPARATION DE MEUBLES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REPARATION DE MEUBLES,NON PRIORITAIRE,NON PRIORITAIRE
64,BRICOLAGE ET PETITS TRAVAUX,,PLOMBERIE,SERVICE DE PLOMBERIE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLOMBERIE,NON PRIORITAIRE,NON PRIORITAIRE
65,BRICOLAGE ET PETITS TRAVAUX,,REPARATION DE FUITES,SERVICE DE REPARATION DE FUITES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REPARATION DE FUITES,NON PRIORITAIRE,NON PRIORITAIRE
66,AUTRES SERVICES,,DEBOUCHAGE DE CANALISATIONS,SERVICE DE DEBOUCHAGE DE CANALISATIONS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEBOUCHAGE DE CANALISATIONS,NON PRIORITAIRE,NON PRIORITAIRE
67,INFORMATIQUE ET TECH,,INSTALLATION DE NOUVEAUX ROBINETS,SERVICE DE INSTALLATION DE NOUVEAUX ROBINETS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INSTALLATION DE NOUVEAUX ROBINETS,PRIORITAIRE,NON PRIORITAIRE
68,BRICOLAGE ET PETITS TRAVAUX,,ELECTRICITE,SERVICE DE ELECTRICITE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ELECTRICITE,NON PRIORITAIRE,NON PRIORITAIRE
69,AUTRES SERVICES,,REMPLACEMENT D'AMPOULES ET PRISES,SERVICE DE REMPLACEMENT D'AMPOULES ET PRISES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REMPLACEMENT D'AMPOULES ET PRISES,NON PRIORITAIRE,NON PRIORITAIRE
70,INFORMATIQUE ET TECH,,INSTALLATION DE LUMINAIRES,SERVICE DE INSTALLATION DE LUMINAIRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INSTALLATION DE LUMINAIRES,PRIORITAIRE,NON PRIORITAIRE
71,BRICOLAGE ET PETITS TRAVAUX,,REPARATION DE CIRCUITS SIMPLES,SERVICE DE REPARATION DE CIRCUITS SIMPLES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REPARATION DE CIRCUITS SIMPLES,NON PRIORITAIRE,NON PRIORITAIRE
72,AUTRES SERVICES,,REPARATEURS D'APPAREILS ELECTROMENAGERS,SERVICE DE REPARATEURS D'APPAREILS ELECTROMENAGERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REPARATEURS D'APPAREILS ELECTROMENAGERS,NON PRIORITAIRE,NON PRIORITAIRE
73,AUTRES SERVICES,,PEINTURE ET RENOVATION,SERVICE DE PEINTURE ET RENOVATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PEINTURE ET RENOVATION,NON PRIORITAIRE,NON PRIORITAIRE
74,AUTRES SERVICES,,"PREPARATION DES SURFACES (PONCAGE, ENDUIT)","SERVICE DE PREPARATION DES SURFACES (PONCAGE, ENDUIT) PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.","PROFESSIONNEL SPECIALISE EN PREPARATION DES SURFACES (PONCAGE, ENDUIT)",NON PRIORITAIRE,NON PRIORITAIRE
75,AUTRES SERVICES,,APPLICATION DE SOUS-COUCHE ET PEINTURE,SERVICE DE APPLICATION DE SOUS-COUCHE ET PEINTURE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN APPLICATION DE SOUS-COUCHE ET PEINTURE,NON PRIORITAIRE,NON PRIORITAIRE
76,AUTRES SERVICES,,PETITS TRAVAUX DE PLATERIE,SERVICE DE PETITS TRAVAUX DE PLATERIE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PETITS TRAVAUX DE PLATERIE,NON PRIORITAIRE,NON PRIORITAIRE
77,AUTRES SERVICES,,FENETRES ET PORTES,SERVICE DE FENETRES ET PORTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FENETRES ET PORTES,NON PRIORITAIRE,NON PRIORITAIRE
78,AUTRES SERVICES,,VERRE ET MIROIRS,SERVICE DE VERRE ET MIROIRS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN VERRE ET MIROIRS,NON PRIORITAIRE,NON PRIORITAIRE
80,AUTRES SERVICES,,COMPTOIRS ET ARMOIRES,SERVICE DE COMPTOIRS ET ARMOIRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COMPTOIRS ET ARMOIRES,NON PRIORITAIRE,NON PRIORITAIRE
81,AUTRES SERVICES,,FROID,SERVICE DE FROID PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FROID,NON PRIORITAIRE,NON PRIORITAIRE
82,INFORMATIQUE ET TECH,,INSTALLATION DE SYTEME DE CLIMATISATION,SERVICE DE INSTALLATION DE SYTEME DE CLIMATISATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INSTALLATION DE SYTEME DE CLIMATISATION,PRIORITAIRE,NON PRIORITAIRE
83,BRICOLAGE ET PETITS TRAVAUX,,MAINTENANCE ET REPARATION,SERVICE DE MAINTENANCE ET REPARATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MAINTENANCE ET REPARATION,NON PRIORITAIRE,NON PRIORITAIRE
85,AUTRES SERVICES,,MENUISIERS,SERVICE DE MENUISIERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MENUISIERS,NON PRIORITAIRE,NON PRIORITAIRE
86,AUTRES SERVICES,,PLOMBIERS,SERVICE DE PLOMBIERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLOMBIERS,NON PRIORITAIRE,NON PRIORITAIRE
87,AUTRES SERVICES,,TECHNICIEN FROID,SERVICE DE TECHNICIEN FROID PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TECHNICIEN FROID,NON PRIORITAIRE,NON PRIORITAIRE
88,AUTRES SERVICES,,PEINTRES,SERVICE DE PEINTRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PEINTRES,NON PRIORITAIRE,NON PRIORITAIRE
95,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,BABY-SITTING,SERVICE DE BABY-SITTING PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BABY-SITTING,PRIORITAIRE,NON PRIORITAIRE
97,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,ACTIVITES LUDIQUES ET EDUCATIVES,SERVICE DE ACTIVITES LUDIQUES ET EDUCATIVES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ACTIVITES LUDIQUES ET EDUCATIVES,PRIORITAIRE,NON PRIORITAIRE
100,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,COURS DE RENFORCEMENT A DOMICILE,SERVICE DE COURS DE RENFORCEMENT A DOMICILE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COURS DE RENFORCEMENT A DOMICILE,PRIORITAIRE,NON PRIORITAIRE
101,AUTRES SERVICES,,PREPARATION AUX EXAMENS,SERVICE DE PREPARATION AUX EXAMENS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION AUX EXAMENS,NON PRIORITAIRE,NON PRIORITAIRE
102,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,LECTURE SUIVIE,SERVICE DE LECTURE SUIVIE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN LECTURE SUIVIE,PRIORITAIRE,NON PRIORITAIRE
104,AUTRES SERVICES,,TUTORAT DANS UNE MATIERE SPECIFIQUE,SERVICE DE TUTORAT DANS UNE MATIERE SPECIFIQUE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TUTORAT DANS UNE MATIERE SPECIFIQUE,NON PRIORITAIRE,NON PRIORITAIRE
105,AUTRES SERVICES,,SUIVI PSYCHOLOGIQUE,SERVICE DE SUIVI PSYCHOLOGIQUE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SUIVI PSYCHOLOGIQUE,NON PRIORITAIRE,NON PRIORITAIRE
106,AUTRES SERVICES,,DEVELOPPEMENT PSYCHOMOTEUR,SERVICE DE DEVELOPPEMENT PSYCHOMOTEUR PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEVELOPPEMENT PSYCHOMOTEUR,NON PRIORITAIRE,NON PRIORITAIRE
108,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,ACCOMPAGNEMENT AUX ACTIVITES EXTRASCOLAIRES,SERVICE DE ACCOMPAGNEMENT AUX ACTIVITES EXTRASCOLAIRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ACCOMPAGNEMENT AUX ACTIVITES EXTRASCOLAIRES,PRIORITAIRE,NON PRIORITAIRE
109,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,SURVEILLANCE DES DEVOIRS,SERVICE DE SURVEILLANCE DES DEVOIRS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SURVEILLANCE DES DEVOIRS,PRIORITAIRE,NON PRIORITAIRE
110,GARDE D'ENFANTS ET SOUTIEN SCOLAIRE,,ORGANISATION D'ACTIVITES APRES L'ECOLE,SERVICE DE ORGANISATION D'ACTIVITES APRES L'ECOLE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ORGANISATION D'ACTIVITES APRES L'ECOLE,PRIORITAIRE,NON PRIORITAIRE
113,AUTRES SERVICES,,AIDE-MENAGERE,SERVICE DE AIDE-MENAGERE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE-MENAGERE,NON PRIORITAIRE,NON PRIORITAIRE
114,AUTRES SERVICES,,NOUNOU,SERVICE DE NOUNOU PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NOUNOU,NON PRIORITAIRE,NON PRIORITAIRE
115,AUTRES SERVICES,,EDUCATEUR SPECIALISE,SERVICE DE EDUCATEUR SPECIALISE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EDUCATEUR SPECIALISE,NON PRIORITAIRE,NON PRIORITAIRE
116,AUTRES SERVICES,,ENCADREURS DE LA PETITE ENFANCE,SERVICE DE ENCADREURS DE LA PETITE ENFANCE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENCADREURS DE LA PETITE ENFANCE,NON PRIORITAIRE,NON PRIORITAIRE
117,AUTRES SERVICES,,ENSEIGNANTS,SERVICE DE ENSEIGNANTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENSEIGNANTS,NON PRIORITAIRE,NON PRIORITAIRE
118,AUTRES SERVICES,,PSYCHOLOGUES,SERVICE DE PSYCHOLOGUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PSYCHOLOGUES,NON PRIORITAIRE,NON PRIORITAIRE
119,AUTRES SERVICES,,COACH DE VIE,SERVICE DE COACH DE VIE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACH DE VIE,NON PRIORITAIRE,NON PRIORITAIRE
121,AUTRES SERVICES,,AIDE AUX PERSONNES AGEES OU DEPENDANTES,SERVICE DE AIDE AUX PERSONNES AGEES OU DEPENDANTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE AUX PERSONNES AGEES OU DEPENDANTES,PRIORITAIRE,NON PRIORITAIRE
124,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,AIDE POUR LES DEPLACEMENTS INTERIEURS ET EXTERIEURS,SERVICE DE AIDE POUR LES DEPLACEMENTS INTERIEURS ET EXTERIEURS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE POUR LES DEPLACEMENTS INTERIEURS ET EXTERIEURS,PRIORITAIRE,NON PRIORITAIRE
